EntrezID	GeneSymbol	Synonyms	GeneName	Chromosome
9519	79001	VKORC1	EDTP308|IMAGE3455200|MST134|MST576|VKCFD2|VKOR	vitamin K epoxide reductase complex, subunit 1	chr16
9520	79003	MIS12	2510025F08Rik|KNTC2AP|MTW1|hMis12	MIS12 kinetochore complex component	chr17
9521	79004	CUEDC2	C10orf66|bA18I14.5	CUE domain containing 2	chr10
9522	79005	SCNM1	-	sodium channel modifier 1	chr1
9523	79006	METRN	C16orf23|c380A1.2	meteorin, glial cell differentiation regulator	chr16
9524	79007	DBNDD1	-	dysbindin (dystrobrevin binding protein 1) domain containing 1	chr16
9525	79009	DDX50	GU2|GUB|RH-II/GuB|mcdrh	DEAD (Asp-Glu-Ala-Asp) box polypeptide 50	chr10
9526	79012	CAMKV	1G5|VACAMKL	CaM kinase-like vesicle-associated	chr3
9527	79019	CENPM	C22orf18|CENP-M|PANE1|bK250D10.2	centromere protein M	chr22
9528	79022	TMEM106C	-	transmembrane protein 106C	chr12
9529	79023	NUP37	p37	nucleoporin 37kDa	chr12
9530	79026	AHNAK	AHNAKRS	AHNAK nucleoprotein	chr11
9531	79029	SPATA5L1	-	spermatogenesis associated 5-like 1	chr15
9532	79031	PDCL3	HTPHLP|PHLP2A|PHLP3|VIAF|VIAF1	phosducin-like 3	chr2
9533	79035	OBFC2B	OBFC2B|SOSS-B1|SSB1|hSSB1	nucleic acid binding protein 2	chr12
9534	79037	PVRIG	C7orf15	poliovirus receptor related immunoglobulin domain containing	chr7
9535	79038	ZFYVE21	ZF21	zinc finger, FYVE domain containing 21	chr14
9536	79039	DDX54	DP97	DEAD (Asp-Glu-Ala-Asp) box polypeptide 54	chr12
9537	79042	TSEN34	LENG5|PCH2C|SEN34|SEN34L	TSEN34 tRNA splicing endonuclease subunit	chr19
9538	79047	KCTD15	-	potassium channel tetramerization domain containing 15	chr19
9539	79048	SECISBP2	SBP2	SECIS binding protein 2	chr9
9540	79050	NOC4L	NET49|NOC4|UTP19	nucleolar complex associated 4 homolog (S. cerevisiae)	chr12
9541	79053	ALG8	CDG1H	ALG8, alpha-1,3-glucosyltransferase	chr11
9542	79054	TRPM8	LTRPC6|TRPP8	transient receptor potential cation channel, subfamily M, member 8	chr2
9543	79056	PRRG4	PRGP4|TMG4	proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane)	chr11
9544	79057	PRRG3	PRGP3|TMG3	proline rich Gla (G-carboxyglutamic acid) 3 (transmembrane)	chrX
9545	79058	ASPSCR1	ASPCR1|ASPL|ASPS|RCC17|TUG|UBXD9|UBXN9	alveolar soft part sarcoma chromosome region, candidate 1	chr17
9546	79065	ATG9A	APG9L1|MGD3208|mATG9	autophagy related 9A	chr2
9547	79068	FTO	-	fat mass and obesity associated	chr16
9548	79070	KDELC1	EP58|KDEL1	KDEL (Lys-Asp-Glu-Leu) containing 1	chr13
9549	79071	ELOVL6	FACE|FAE|LCE	ELOVL fatty acid elongase 6	chr4
9550	79072	FASTKD3	-	FAST kinase domains 3	chr5
9551	79073	TMEM109	-	transmembrane protein 109	chr11
9552	79080	CCDC86	-	coiled-coil domain containing 86	chr11
9553	79083	MLPH	SLAC2-A	melanophilin	chr2
9554	79084	WDR77	MEP-50|MEP50|Nbla10071|RP11-552M11.3|p44|p44/Mep50	WD repeat domain 77	chr1
9555	79085	SLC25A23	APC2|MCSC2|SCaMC-3	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 23	chr19
9556	79087	ALG12	CDG1G|ECM39|PP14673|hALG12	ALG12, alpha-1,6-mannosyltransferase	chr22
9557	79088	ZNF426	-	zinc finger protein 426	chr19
9558	79089	TMUB2	-	transmembrane and ubiquitin-like domain containing 2	chr17
9559	79090	TRAPPC6A	TRS33	trafficking protein particle complex 6A	chr19
9560	79092	CARD14	BIMP2|CARMA2|PRP|PSORS2|PSS1	caspase recruitment domain family, member 14	chr17
9561	79094	CHAC1	-	ChaC, cation transport regulator homolog 1 (E. coli)	chr15
9562	79097	TRIM48	RNF101	tripartite motif containing 48	chr11
9563	79109	MAPKAP1	JC310|MIP1|SIN1|SIN1b|SIN1g	mitogen-activated protein kinase associated protein 1	chr9
9564	79132	DHX58	D11LGP2|D11lgp2e|LGP2|RLR-3	DEXH (Asp-Glu-X-His) box polypeptide 58	chr17
9565	79134	TMEM185B	FAM11B	transmembrane protein 185B	chr2
9566	79135	APOO	FAM121B	apolipoprotein O	chrX
9567	79137	FAM134A	C2orf17	family with sequence similarity 134, member A	chr2
9568	79139	DERL1	DER-1|DER1	derlin 1	chr8
9569	79140	CCDC28B	RP4-622L5.5	coiled-coil domain containing 28B	chr1
9570	79145	CHCHD7	COX23	coiled-coil-helix-coiled-coil-helix domain containing 7	chr8
9571	79147	FKRP	LGMD2I|MDC1C|MDDGA5|MDDGB5|MDDGC5	fukutin related protein	chr19
9572	79148	MMP28	EPILYSIN|MM28|MMP-28|MMP25	matrix metallopeptidase 28	chr17
9573	79152	FA2H	FAAH|FAH1|FAXDC1|SCS7|SPG35	fatty acid 2-hydroxylase	chr16
9574	79153	GDPD3	-	glycerophosphodiester phosphodiesterase domain containing 3	chr16
9575	79155	TNIP2	ABIN2|FLIP1|KLIP	TNFAIP3 interacting protein 2	chr4
9576	79156	PLEKHF1	APPD|LAPF|PHAFIN1|ZFYVE15	pleckstrin homology domain containing, family F (with FYVE domain) member 1	chr19
9577	79158	GNPTAB	GNPTA|ICD	N-acetylglucosamine-1-phosphate transferase, alpha and beta subunits	chr12
9578	79166	LILRP2	CD85m|ILT10|LILRA5	leukocyte immunoglobulin-like receptor pseudogene 2	chr19
9579	79171	RBM42	-	RNA binding motif protein 42	chr19
9580	79174	CRELD2	-	cysteine-rich with EGF-like domains 2	chr22
9581	79175	ZNF343	dJ734P14.5	zinc finger protein 343	chr20
9582	79176	FBXL15	FBXO37|Fbl15|JET|PSD	F-box and leucine-rich repeat protein 15	chr10
9583	79177	ZNF576	-	zinc finger protein 576	chr19
9584	79178	THTPA	THTP|THTPASE	thiamine triphosphatase	chr14
9585	79180	EFHD2	SWS1	EF-hand domain family, member D2	chr1
9586	79184	BRCC3	BRCC36|C6.1A|CXorf53	BRCA1/BRCA2-containing complex, subunit 3	chrX
9587	79187	FSD1	GLFND|MIR1	fibronectin type III and SPRY domain containing 1	chr19
9588	79188	TMEM43	ARVC5|ARVD5|EDMD7|LUMA	transmembrane protein 43	chr3
9589	79228	THOC6	WDR58|fSAP35	THO complex 6 homolog (Drosophila)	chr16
9590	79230	ZNF557	-	zinc finger protein 557	chr19
9591	79364	ZXDC	ZXDL	ZXD family zinc finger C	chr3
9592	79368	FCRL2	CD307b|FCRH2|IFGP4|IRTA4|SPAP1|SPAP1A|SPAP1B|SPAP1C	Fc receptor-like 2	chr1
9593	79369	B3GNT4	B3GN-T4|beta3Gn-T4	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4	chr12
9594	79370	BCL2L14	BCLG	BCL2-like 14 (apoptosis facilitator)	chr12
9595	79400	NOX5	-	NADPH oxidase, EF-hand calcium binding domain 5	chr15
9596	79411	GLB1L	-	galactosidase, beta 1-like	chr2
9597	79412	KREMEN2	KRM2	kringle containing transmembrane protein 2	chr16
9598	79413	ZBED2	-	zinc finger, BED-type containing 2	chr3
9599	79414	LRFN3	FIGLER1|SALM4	leucine rich repeat and fibronectin type III domain containing 3	chr19
9600	79442	LRRC2	-	leucine rich repeat containing 2	chr3
9601	79443	FYCO1	CATC2|CTRCT18|RUFY3|ZFYVE7	FYVE and coiled-coil domain containing 1	chr3
9602	79444	BIRC7	KIAP|LIVIN|ML-IAP|MLIAP|RNF50	baculoviral IAP repeat containing 7	chr20
9603	79446	WDR25	C14orf67	WD repeat domain 25	chr14
9604	79567	FAM65A	-	family with sequence similarity 65, member A	chr16
9605	79571	GCC1	GCC1P|GCC88	GRIP and coiled-coil domain containing 1	chr7
9606	79572	ATP13A3	AFURS1	ATPase type 13A3	chr3
9607	79573	TTC13	-	tetratricopeptide repeat domain 13	chr1
9608	79574	EPS8L3	EPS8R3	EPS8-like 3	chr1
9609	79575	ABHD8	-	abhydrolase domain containing 8	chr19
9610	79577	CDC73	C1orf28|HPTJT|HRPT2|HYX	cell division cycle 73	chr1
9611	79581	GPR172A	BVVLS2|D15Ertd747e|GPCR41|GPR172A|PAR1|RFT3|RFVT2|hRFT3	solute carrier family 52 (riboflavin transporter), member 2	chr8
9612	79582	SPAG16	PF20|WDR29	sperm associated antigen 16	chr2
9613	79585	CORO7	0610011B16Rik|CRN7|POD1	coronin 7	chr16
9614	79586	CHPF	CHSY2|CSS2	chondroitin polymerizing factor	chr2
9615	79587	CARS2	-	cysteinyl-tRNA synthetase 2, mitochondrial (putative)	chr13
9616	79589	RNF128	GRAIL	ring finger protein 128, E3 ubiquitin protein ligase	chrX
9617	79590	MRPL24	L24mt|MRP-L18|MRP-L24	mitochondrial ribosomal protein L24	chr1
9618	79595	SAP130	-	Sin3A-associated protein, 130kDa	chr2
9619	79602	ADIPOR2	ACDCR2|PAQR2	adiponectin receptor 2	chr12
9620	79608	RIC3	AYST720|PRO1385	RIC3 acetylcholine receptor chaperone	chr11
9621	79616	CCNJL	-	cyclin J-like	chr5
9622	79618	HMBOX1	HNF1LA|HOT1|PBHNF	homeobox containing 1	chr8
9623	79621	RNASEH2B	AGS2|DLEU8	ribonuclease H2, subunit B	chr13
9624	79623	GALNT14	GALNT15|GalNac-T10|GalNac-T14	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 14 (GalNAc-T14)	chr2
9625	79627	OGFRL1	dJ331H24.1	opioid growth factor receptor-like 1	chr6
9626	79628	SH3TC2	CMT4C|MNMN	SH3 domain and tetratricopeptide repeats 2	chr5
9627	79629	OCEL1	FWP009|S863-9	occludin/ELL domain containing 1	chr19
9628	79631	EFTUD1	FAM42A|HsT19294|RIA1	elongation factor Tu GTP binding domain containing 1	chr15
9629	79634	SCRN3	SES3	secernin 3	chr2
9630	79635	CCDC121	-	coiled-coil domain containing 121	chr2
9631	79637	ARMC7	-	armadillo repeat containing 7	chr17
9632	79639	TMEM53	NET4	transmembrane protein 53	chr1
9633	79641	ROGDI	KTZS	rogdi homolog (Drosophila)	chr16
9634	79642	ARSJ	-	arylsulfatase family, member J	chr4
9635	79643	CHMP6	VPS20	charged multivesicular body protein 6	chr17
9636	79645	EFCAB1	-	EF-hand calcium binding domain 1	chr8
9637	79646	PANK3	-	pantothenate kinase 3	chr5
9638	79648	MCPH1	BRIT1|MCT	microcephalin 1	chr8
9639	79649	MAP7D3	-	MAP7 domain containing 3	chrX
9640	79651	RHBDF2	RHBDL5|RHBDL6|TOC	rhomboid 5 homolog 2 (Drosophila)	chr17
9641	79654	HECTD3	RP11-69J16.1	HECT domain containing E3 ubiquitin protein ligase 3	chr1
9642	79659	DYNC2H1	ATD3|DHC1b|DHC2|DNCH2|DYH1B|SRPS2B|hdhc11	dynein, cytoplasmic 2, heavy chain 1	chr11
9643	79661	NEIL1	FPG1|NEI1|hFPG1	nei endonuclease VIII-like 1 (E. coli)	chr15
9644	79663	HSPBAP1	PASS1	HSPB (heat shock 27kDa) associated protein 1	chr3
9645	79664	NARG2	BRCC1	NMDA receptor regulated 2	chr15
9646	79665	DHX40	DDX40|PAD	DEAH (Asp-Glu-Ala-His) box polypeptide 40	chr17
9647	79666	PLEKHF2	EAPF|PHAFIN2|ZFYVE18	pleckstrin homology domain containing, family F (with FYVE domain) member 2	chr8
9648	79668	PARP8	ARTD16|pART16	poly (ADP-ribose) polymerase family, member 8	chr5
9649	79670	ZCCHC6	PAPD6	zinc finger, CCHC domain containing 6	chr9
9650	79671	NLRX1	CLR11.3|DLNB26|NOD26|NOD5|NOD9	NLR family member X1	chr11
9651	79672	FN3KRP	FN3KL	fructosamine 3 kinase related protein	chr17
9652	79673	ZNF329	-	zinc finger protein 329	chr19
9653	79675	FASTKD1	-	FAST kinase domains 1	chr2
9654	79677	SMC6	SMC-6|SMC6L1|hSMC6	structural maintenance of chromosomes 6	chr2
9655	79679	VTCN1	B7-H4|B7H4|B7S1|B7X|B7h.5|PRO1291|VCTN1	V-set domain containing T cell activation inhibitor 1	chr1
9656	79682	MLF1IP	CENP50|CENPU|CENPU50|KLIP1|PBIP1	MLF1 interacting protein	chr4
9657	79683	ZDHHC14	NEW1CP	zinc finger, DHHC-type containing 14	chr6
9658	79685	SAP30L	NS4ATP2	SAP30-like	chr5
9659	79689	STEAP4	STAMP2|TIARP|TNFAIP9	STEAP family member 4	chr7
9660	79690	GAL3ST4	GAL3ST-4	galactose-3-O-sulfotransferase 4	chr7
9661	79691	QTRTD1	-	queuine tRNA-ribosyltransferase domain containing 1	chr3
9662	79693	YRDC	DRIP3|IRIP|RP11-109P14.4|SUA5	yrdC domain containing (E. coli)	chr1
9663	79694	MANEA	ENDO|hEndo	mannosidase, endo-alpha	chr6
9664	79695	GALNT12	CRCS1|GalNAc-T12	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12)	chr9
9665	79698	ZMAT4	-	zinc finger, matrin-type 4	chr8
9666	79706	PRKRIP1	C114|KRBOX3	PRKR interacting protein 1 (IL11 inducible)	chr7
9667	79709	GLT25D1	GLT25D1	collagen beta(1-O)galactosyltransferase 1	chr19
9668	79710	MORC4	ZCW4|ZCWCC2|dJ75H8.2	MORC family CW-type zinc finger 4	chrX
9669	79711	IPO4	Imp4	importin 4	chr14
9670	79712	GTDC1	Hmat-Xa|mat-Xa	glycosyltransferase-like domain containing 1	chr2
9671	79714	CCDC51	-	coiled-coil domain containing 51	chr3
9672	79716	NPEPL1	bA261P9.2	aminopeptidase-like 1	chr20
9673	79717	PPCS	-	phosphopantothenoylcysteine synthetase	chr1
9674	79718	TBL1XR1	C21|DC42|IRA1|TBLR1	transducin (beta)-like 1 X-linked receptor 1	chr3
9675	79720	VPS37B	-	vacuolar protein sorting 37 homolog B (S. cerevisiae)	chr12
9676	79722	ANKRD55	-	ankyrin repeat domain 55	chr5
9677	79723	SUV39H2	KMT1B	suppressor of variegation 3-9 homolog 2 (Drosophila)	chr10
9678	79724	ZNF768	-	zinc finger protein 768	chr16
9679	79725	THAP9	hTh9	THAP domain containing 9	chr4
9680	79726	WDR59	-	WD repeat domain 59	chr16
9681	79728	PALB2	FANCN|PNCA3	partner and localizer of BRCA2	chr16
9682	79731	NARS2	SLM5|asnRS	asparaginyl-tRNA synthetase 2, mitochondrial (putative)	chr11
9683	79733	E2F8	E2F-8	E2F transcription factor 8	chr11
9684	79734	KCTD17	-	potassium channel tetramerization domain containing 17	chr22
9685	79735	TBC1D17	-	TBC1 domain family, member 17	chr19
9686	79738	BBS10	C12orf58	Bardet-Biedl syndrome 10	chr12
9687	79739	TTLL7	RP5-836J3.2	tubulin tyrosine ligase-like family, member 7	chr1
9688	79744	ZNF419	ZNF419A	zinc finger protein 419	chr19
9689	79745	CLIP4	RSNL2	CAP-GLY domain containing linker protein family, member 4	chr2
9690	79746	ECHDC3	-	enoyl CoA hydratase domain containing 3	chr10
9691	79748	LMAN1L	ERGIC-53L|ERGL	lectin, mannose-binding, 1 like	chr15
9692	79751	SLC25A22	EIEE3|GC1|NET44	solute carrier family 25 (mitochondrial carrier: glutamate), member 22	chr11
9693	79752	ZFAND1	-	zinc finger, AN1-type domain 1	chr8
9694	79753	SNIP1	PMRED	Smad nuclear interacting protein 1	chr1
9695	79754	ASB13	-	ankyrin repeat and SOCS box containing 13	chr10
9696	79755	ZNF750	ZFP750	zinc finger protein 750	chr17
9697	79758	DHRS12	SDR40C1	dehydrogenase/reductase (SDR family) member 12	chr13
9698	79759	ZNF668	-	zinc finger protein 668	chr16
9699	79760	GEMIN7	SIP3	gem (nuclear organelle) associated protein 7	chr19
9700	79763	ISOC2	-	isochorismatase domain containing 2	chr19
9701	79767	ELMO3	CED-12|CED12|ELMO-3	engulfment and cell motility 3	chr16
9702	79774	GRTP1	TBC1D6	growth hormone regulated TBC protein 1	chr13
9703	79776	ZFHX4	ZFH4|ZHF4	zinc finger homeobox 4	chr8
9704	79777	ACBD4	-	acyl-CoA binding domain containing 4	chr17
9705	79778	MICALL2	JRAB|MICAL-L2	MICAL-like 2	chr7
9706	79782	LRRC31	-	leucine rich repeat containing 31	chr3
9707	79784	MYH14	DFNA4|DFNA4A|MHC16|MYH17|NMHC II-C|NMHC-II-C|PNMHH|myosin	myosin, heavy chain 14, non-muscle	chr19
9708	79788	ZNF665	ZFP160L	zinc finger protein 665	chr19
9709	79789	CLMN	-	calmin (calponin-like, transmembrane)	chr14
9710	79796	ALG9	CDG1L|DIBD1|LOH11CR1J	ALG9, alpha-1,2-mannosyltransferase	chr11
9711	79797	ZNF408	-	zinc finger protein 408	chr11
9712	79799	UGT2A3	-	UDP glucuronosyltransferase 2 family, polypeptide A3	chr4
9713	79800	ALS2CR8	ALS2CR8|NYD-SP24	calcium responsive transcription factor	chr2
9714	79801	SHCBP1	PAL	SHC SH2-domain binding protein 1	chr16
9715	79803	HPS6	RP11-302K17.1	Hermansky-Pudlak syndrome 6	chr10
9716	79805	VASH2	RP11-275G3.1	vasohibin 2	chr1
9717	79810	PTCD2	-	pentatricopeptide repeat domain 2	chr5
9718	79811	SLTM	Met	SAFB-like, transcription modulator	chr15
9719	79812	MMRN2	EMILIN-3|EMILIN3|ENDOGLYX-1	multimerin 2	chr10
9720	79813	EHMT1	EUHMTASE1|Eu-HMTase1|FP13812|GLP|GLP1|KMT1D|bA188C12.1	euchromatic histone-lysine N-methyltransferase 1	chr9
9721	79816	TLE6	GRG6	transducin-like enhancer of split 6 (E(sp1) homolog, Drosophila)	chr19
9722	79817	MOBKL2B	C9orf35|MOB1D|MOBKL2B	MOB kinase activator 3B	chr9
9723	79818	ZNF552	-	zinc finger protein 552	chr19
9724	79819	WDR78	DIC4	WD repeat domain 78	chr1
9725	79822	ARHGAP28	-	Rho GTPase activating protein 28	chr18
9726	79825	CCDC48	C3orf73|CCDC48	EF-hand and coiled-coil domain containing 1	chr3
9727	79828	METTL8	TIP	methyltransferase like 8	chr2
9728	79830	ZMYM1	MYM|RP11-181E22.4	zinc finger, MYM-type 1	chr1
9729	79831	JMJD5	JMJD5	lysine (K)-specific demethylase 8	chr16
9730	79832	QSER1	-	glutamine and serine rich 1	chr11
9731	79833	GEMIN6	-	gem (nuclear organelle) associated protein 6	chr2
9732	79836	LONRF3	RNF127	LON peptidase N-terminal domain and ring finger 3	chrX
9733	79838	TMC5	-	transmembrane channel-like 5	chr16
9734	79839	CCDC102B	ACY1L|AN|C18orf14|HsT1731	coiled-coil domain containing 102B	chr18
9735	79840	NHEJ1	XLF	nonhomologous end-joining factor 1	chr2
9736	79841	AGBL2	-	ATP/GTP binding protein-like 2	chr11
9737	79843	FAM124B	-	family with sequence similarity 124B	chr2
9738	79844	ZDHHC11	ZNF399	zinc finger, DHHC-type containing 11	chr5
9739	79845	RNF122	-	ring finger protein 122	chr8
9740	79847	TMEM180	C10orf77|bA18I14.8	transmembrane protein 180	chr10
9741	79848	CSPP1	CSPP	centrosome and spindle pole associated protein 1	chr8
9742	79849	PDZD3	IKEPP|NHERF4|PDZK2	PDZ domain containing 3	chr11
9743	79850	FAM57A	CT120	family with sequence similarity 57, member A	chr17
9744	79853	TM4SF20	PRO994|TCCE518	transmembrane 4 L six family member 20	chr2
9745	79857	FLJ13224	-	-	chr12
9746	79858	NEK11	-	NIMA-related kinase 11	chr3
9747	79861	TUBAL3	-	tubulin, alpha-like 3	chr10
9748	79862	ZNF669	-	zinc finger protein 669	chr1
9749	79865	TREML2	C6orf76|TLT-2|TLT2|dJ238O23.1	triggering receptor expressed on myeloid cells-like 2	chr6
9750	79870	BAALC	-	brain and acute leukemia, cytoplasmic	chr8
9751	79872	CBLL1	HAKAI|RNF188	Cbl proto-oncogene-like 1, E3 ubiquitin protein ligase	chr7
9752	79873	NUDT18	MTH3	nudix (nucleoside diphosphate linked moiety X)-type motif 18	chr8
9753	79874	RABEP2	FRA	rabaptin, RAB GTPase binding effector protein 2	chr16
9754	79875	THSD4	ADAMTSL-6|ADAMTSL6|FVSY9334|PRO34005	thrombospondin, type I, domain containing 4	chr15
9755	79877	DCAKD	-	dephospho-CoA kinase domain containing	chr17
9756	79879	CCDC134	dJ821D11.3	coiled-coil domain containing 134	chr22
9757	79882	ZC3H14	MSUT-2|NY-REN-37|SUT2|UKp68	zinc finger CCCH-type containing 14	chr14
9758	79883	PODNL1	SLRR5B	podocan-like 1	chr19
9759	79884	MAP9	ASAP	microtubule-associated protein 9	chr4
9760	79885	HDAC11	HD11	histone deacetylase 11	chr3
9761	79890	RIN3	-	Ras and Rab interactor 3	chr14
9762	79891	ZNF671	-	zinc finger protein 671	chr19
9763	79894	ZNF672	-	zinc finger protein 672	chr1
9764	79895	ATP8B4	ATPIM	ATPase, class I, type 8B, member 4	chr15
9765	79896	THNSL1	TSH1	threonine synthase-like 1 (S. cerevisiae)	chr10
9766	79901	CYBRD1	CYB561A2|DCYTB|FRRS3	cytochrome b reductase 1	chr2
9767	79902	NUP85	Nup75	nucleoporin 85kDa	chr17
9768	79905	TMC7	-	transmembrane channel-like 7	chr16
9769	79906	MORN1	-	MORN repeat containing 1	chr1
9770	79913	ACTR5	Arp5|INO80M	ARP5 actin-related protein 5 homolog (yeast)	chr20
9771	79915	ATAD5	C17orf41|ELG1|FRAG1	ATPase family, AAA domain containing 5	chr17
9772	79918	SETD6	-	SET domain containing 6	chr16
9773	79921	TCEAL4	NPD017	transcription elongation factor A (SII)-like 4	chrX
9774	79922	MRM1	-	mitochondrial rRNA methyltransferase 1 homolog (S. cerevisiae)	chr17
9775	79923	NANOG	-	Nanog homeobox	chr12
9776	79924	ADM2	AM2|dJ579N16.4	adrenomedullin 2	chr22
9777	79927	GRRP1	GRRP1|RP11-96L14.5	family with sequence similarity 110, member D	chr1
9778	79929	MAP6D1	MAPO6D1|SL21	MAP6 domain containing 1	chr3
9779	79930	DOK3	DOKL	docking protein 3	chr5
9780	79931	TNIP3	ABIN-3|LIND	TNFAIP3 interacting protein 3	chr4
9781	79932	KIAA0319L	-	KIAA0319-like	chr1
9782	79933	SYNPO2L	-	synaptopodin 2-like	chr10
9783	79935	CNTD2	-	cyclin N-terminal domain containing 2	chr19
9784	79939	SLC35E1	-	solute carrier family 35, member E1	chr19
9785	79943	ZNF696	-	zinc finger protein 696	chr8
9786	79944	L2HGDH	C14orf160	L-2-hydroxyglutarate dehydrogenase	chr14
9787	79947	DHDDS	CIT|CPT|DS|HDS|RP59	dehydrodolichyl diphosphate synthase	chr1
9788	79954	NOL10	PQBP5	nucleolar protein 10	chr2
9789	79955	PDZD7	PDZK7	PDZ domain containing 7	chr10
9790	79956	ERMP1	FXNA|KIAA1815|bA207C16.3	endoplasmic reticulum metallopeptidase 1	chr9
9791	79957	PAQR6	-	progestin and adipoQ receptor family member VI	chr1
9792	79958	DENND1C	FAM31C	DENN/MADD domain containing 1C	chr19
9793	79959	CEP76	C18orf9|HsT1705	centrosomal protein 76kDa	chr18
9794	79960	PHF17	JADE1	PHD finger protein 17	chr4
9795	79961	DENND2D	-	DENN/MADD domain containing 2D	chr1
9796	79966	SCD5	ACOD4|FADS4|HSCD5|SCD2|SCD4	stearoyl-CoA desaturase 5	chr4
9797	79968	WDR76	CDW14	WD repeat domain 76	chr15
9798	79970	ZNF767	-	zinc finger family member 767	chr7
9799	79973	ZNF442	-	zinc finger protein 442	chr19
9800	79977	GRHL2	BOM|DFNA28|TFCP2L3	grainyhead-like 2 (Drosophila)	chr8
9801	79980	DSN1	C20orf172|KNL3|MIS13|dJ469A13.2|hKNL-3	DSN1, MIS12 kinetochore complex component	chr20
9802	79981	FRMD1	bA164L23.1	FERM domain containing 1	chr6
9803	79982	DNAJB14	EGNR9427|PRO34683	DnaJ (Hsp40) homolog, subfamily B, member 14	chr4
9804	79983	POF1B	POF|POF2B	premature ovarian failure, 1B	chrX
9805	79987	SVEP1	C9orf13|CCP22|POLYDOM|SEL-OB|SELOB	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1	chr9
9806	79989	TTC26	DYF13|dyf-13	tetratricopeptide repeat domain 26	chr7
9807	79990	PLEKHH3	-	pleckstrin homology domain containing, family H (with MyTH4 domain) member 3	chr17
9808	79991	OBFC1	AAF-44|AAF44|RP11-541N10.2|RPA-32|STN1|bA541N10.2	oligonucleotide/oligosaccharide-binding fold containing 1	chr10
9809	80003	PCNXL2	-	pecanex-like 2 (Drosophila)	chr1
9810	80005	DOCK5	-	dedicator of cytokinesis 5	chr8
9811	80008	TMEM156	-	transmembrane protein 156	chr4
9812	80010	RMI1	BLAP75|C9orf76|FAAP75|RP11-346I8.1	RecQ mediated genome instability 1	chr9
9813	80012	PHC3	EDR3|HPH3	polyhomeotic homolog 3 (Drosophila)	chr3
9814	80014	WWC2	BOMB	WW and C2 domain containing 2	chr4
9815	80019	UBTD1	-	ubiquitin domain containing 1	chr10
9816	80020	FOXRED2	ERFAD	FAD-dependent oxidoreductase domain containing 2	chr22
9817	80021	TMEM62	-	transmembrane protein 62	chr15
9818	80022	MYO15B	MYO15BP	myosin XVB pseudogene	chr17
9819	80023	NRSN2	C20orf98|dJ1103G7.6	neurensin 2	chr20
9820	80024	SLC24A6	NCKX6|NCLX|SLC24A6	solute carrier family 8 (sodium/lithium/calcium exchanger), member B1	chr12
9821	80025	PANK2	C20orf48|HARP|HSS|NBIA1|PKAN	pantothenate kinase 2	chr20
9822	80028	FBXL18	Fbl18	F-box and leucine-rich repeat protein 18	chr7
9823	80031	SEMA6D	-	sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D	chr15
9824	80032	ZNF556	-	zinc finger protein 556	chr19
9825	80036	TRPM3	GON-2|LTRPC3|MLSN2	transient receptor potential cation channel, subfamily M, member 3	chr9
9826	80045	GPR157	-	G protein-coupled receptor 157	chr1
9827	80055	PGAP1	Bst1|ISPD3024	post-GPI attachment to proteins 1	chr2
9828	80059	LRRTM4	-	leucine rich repeat transmembrane neuronal 4	chr2
9829	80063	ATF7IP2	MCAF2	activating transcription factor 7 interacting protein 2	chr16
9830	80071	CCDC15	-	coiled-coil domain containing 15	chr11
9831	80094	FLJ14107	-	BIN3 intronic transcript 1 (non-protein coding)	chr8
9832	80095	ZNF606	ZNF328	zinc finger protein 606	chr19
9833	80108	ZFP2	ZNF751	ZFP2 zinc finger protein	chr5
9834	80110	ZNF614	-	zinc finger protein 614	chr19
9835	80117	ARL14	ARF7	ADP-ribosylation factor-like 14	chr3
9836	80124	VCPIP1	DUBA3|VCIP135	valosin containing protein (p97)/p47 complex interacting protein 1	chr8
9837	80128	TRIM46	GENEY|TRIFIC	tripartite motif containing 46	chr1
9838	80131	LRRC8E	-	leucine rich repeat containing 8 family, member E	chr19
9839	80142	PTGES2	C9orf15|GBF-1|GBF1|PGES2|mPGES-2	prostaglandin E synthase 2	chr9
9840	80144	FRAS1	-	Fraser syndrome 1	chr4
9841	80145	THOC7	NIF3L1BP1|fSAP24	THO complex 7 homolog (Drosophila)	chr3
9842	80146	UXS1	SDR6E1|UGD	UDP-glucuronate decarboxylase 1	chr2
9843	80149	ZC3H12A	MCPIP|MCPIP1|RP3-423B22.1|dJ423B22.1	zinc finger CCCH-type containing 12A	chr1
9844	80150	ASRGL1	ALP|ALP1|CRASH	asparaginase like 1	chr11
9845	80152	CENPT	C16orf56|CENP-T	centromere protein T	chr16
9846	80153	EDC3	LSM16|YJDC|YJEFN2	enhancer of mRNA decapping 3	chr15
9847	80162	ATHL1	-	ATH1, acid trehalase-like 1 (yeast)	chr11
